conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
Multiple Myeloma,"This is a multicenter, open-label, phase I/II clinical study, to assess the safety, tolerability, antitumor activity, pharmacokinetics and pharmacodynamics of EOS884448 (also known as EOS-448 or GSK4428859A), alone or in combination with iberdomide with and without dexamethasone in participants with relapsed/refractory multiple myeloma (RRMM).",16,NCT05289492,2026-02-05,2024-10-23,No Change,Study of Novel Regimens in Relapsed or Refractory Multiple Myeloma,PHASE1,Number of participants with any adverse events (AEs) and serious adverse events (SAEs),iTeos Therapeutics,TERMINATED,2023-11-29,2022-05-01,TIGIT
28 Day Mortality,"1. peripheral blood Treg cells and their surface PD-1、CTLA-4 and TIGIT levels in sepsis patients were measured by flowcytometry. SOFA score、APACHE II score were recorded
2. the level of miR-155-5p were measured by RT-qPCR in patients with sepsis on day 0-1 and day 3-5, and the correlation between the expression of the co-inhibitory molecules and miR-155-5p were evaluated",100,NCT05126537,2026-02-05,2022-11-25,No Change,Co-inhibitory Molecules on Treg and miR-155-5p in Patients With Sepsis,N/A,28 day mortality,"Southeast University, China",UNKNOWN,2022-12-31,2022-01-01,TIGIT
"Non-Small Cell Lung Cancer, Melanoma (Skin Cancer)","Immune checkpoint inhibitors (anti-PD-1/PD-L1) have become standard treatment for patients with advanced or metastatic non-small cell lung cancer (NSCLC) or melanoma. However, not all patients respond to these therapies, and current biomarkers are imperfect.

Circulating extracellular vesicles (EVs) are nanovesicles derived from tumor and immune cells, carrying proteins, nucleic acids, and lipids. They represent an accessible and stable source of immunological biomarkers, allowing monitoring of the tumor microenvironment without additional invasive procedures.

This prospective multicenter study aims to:

* Collect and analyze immunological biomarkers present in EVs at baseline and during follow-up.
* Assess their association with objective response to anti-PD-1/PD-L1 treatment, measured according to RECIST 1.1.
* Develop an exploratory composite score combining multiple markers to predict response, stratified by cancer type (NSCLC vs melanoma).
* Prospectively collect biological samples for future exploratory analyses.

Study procedures for participants include:

* Blood sample collection: Four study-specific blood draws performed during standard treatment or tumor assessment visits (baseline, 2nd administration, first evaluation, second evaluation).
* Collection of additional information: Standard immunohistochemistry results for PD-1, PD-L1, CTLA-4, Tim-3, LAG-3, and Tigit; thoraco-abdomino-pelvic CT scans; circulating or tumor DNA genotyping analyses.
* Clinical follow-up: Conducted according to routine care standards, with no changes to treatment or additional study-specific visits.",378,NCT07376512,2026-02-05,2026-01-22,No Change,Predicting Response to Anti-PD-1/PD-L1 Immunotherapy by Plasma Extracellular Vesicle Analysis,N/A,Target protein levels in plasma-derived extracellular vesicles (EVs) measured by multiplex ELISA before treatment,Centre Georges Francois Leclerc,NOT_YET_RECRUITING,2030-03-01,2026-03-01,TIGIT
Locally Advanced Esophageal Squamous Cell Carcinoma,"Esophageal squamous cell carcinoma (ESCC) is one of the most lethal malignancy worldwide. The prognosis is poor with a five-year overall survival rate of 10 to 30 %. Randomized clinical trials have demonstrated that trimodality therapy (TMT), consisted of neoadjuvant concurrent chemoradiation (CCRT) and radical esophagectomy, improves the overall survival for patients with resectable locally advanced disease. Despite of the advancement, the outcome remained unsatisfactory with the median recurrence-free survival around 20 to 25 months and median overall survival around 30 months. It is known that the most important prognostic factor is whether a pathological complete response can be achieved after neoadjuvant CCRT. However, the use of new generation chemotherapeutic agent and epidermal growth factor inhibitors failed to significantly improve prognosis comparing to the standard platinum-based regimen. As a consequence, it is mandatory to develop new pharmacotherapeutic regimen for TMT.

In our previous prospective studies, we found higher levels of serum immune-related biomarkers, VEGF-A, TGF-β1, and soluble PD-L1, before neoadjuvant CCRT were independent associated with inferior overall survival and disease-free survival for locally advanced ESCC treated with neoadjuvant CCRT plus radical esophagectomy. Recent clinical trials have shown the efficacy of anti-PD-1 in recurrent/metastatic ESCC. Besides, preclinical and clinical studies suggested radiotherapy might induce local inflammatory stimulus for the immune modulating drug to boost the integrated response. In addition, preclinical study showed promising anti-cancer efficacy by combination of fractionated radiotherapy, anti-PD-L1 and/or anti-TIGIT immunotherapy. Though several prospective clinical trials have shown the feasibility, safety, and activity of adding anti-TIGIT therapy to anti-PD-L1 drug, and adding anti-PD-L1 therapy to chemotherapy in lung cancer, the safety and activity of combing anti-PD-1/PD-L1 to CCRT or TMT remained largely undetermined. In the present clinical trial, we plan to investigate whether incorporation of tiragolumab (Anti-TIGIT) and atezolizumab (Anti-PD-L1) into standard TMT will be safe while improve the pathological complete response rate. By the present research, we expect to develop a new TMT regimen for this poor prognostic disease.

This study is a single arm open labeled trial to evaluate the safety and pathological response of ESCC patients receiving neoadjuvant Paclitaxel/Cisplatin(TP)-CCRT plus Tiragolumab/Atezolizumab followed by radical esophagectomy. We design to enroll 32 patients to develop the preliminary evidence for incorporating tiragolumab/atezolizumab in locally advanced ESCC.",32,NCT05743504,2026-02-05,2024-01-31,No Change,Immunotherapy With CCRT Followed by Surgery for Locally Advanced ESCC Patients,"PHASE1, PHASE2",Pathological complete response rate,National Taiwan University Hospital,UNKNOWN,2025-11-30,2023-09-18,TIGIT
Advanced Solid Tumor,"Anti-PD-1 and anti-PD-L1 antibodies targeting the immuno-inhibitory PD-1 pathway (thus activating T cells) have achieved clinical success in many types of cancers. However, studies have shown that anti-TIGIT antibodies not only trigger T cells and Natural Killer(NK) cells, but they can also activate T cells to a greater extent than anti-PD-1 antibodies. Therefore, further clinical investigation of anti-TIGIT antibodies such as BAT6021 is warranted.

PD-1 and TIGIT are commonly co-expressed in T cells of the same tumor; thus, combining anti-TIGIT antibodies with PD-1/PD-L1 inhibitors may be a more effective cancer treatment. Indeed, anti-TIGIT antibodies have demonstrated synergy with anti-PD-1/PD-L1 antibodies in preclinical models. In addition, sponsor have shown that single administration of BAT1308 or BAT6021 could not effectively inhibit CT26 tumor growth in PD-1/TIGIT- humanized syngeneic mice; however, the combination treatment resulted in potent anti-tumor activity. Therefore, combined treatment with BAT6021 and an anti-PD-1/PD-L1 antibody like BAT1308 could improve therapeutic outcomes.",13,NCT05073484,2026-02-05,2023-10-09,No Change,Assessment of Safety and Preliminary Efficacy With BAT6021 in Solid Tumor Patients,PHASE1,Dose-limiting toxicity(DLT),Bio-Thera Solutions,TERMINATED,2023-03-30,2021-10-29,TIGIT
"Melanoma, Non-small Cell Lung Cancer, Squamous Cell Carcinoma (Skin), Renal Cell Carcinoma, Merkel Cell Carcinoma, Triple Negative Breast Cancer, Head and Neck Squamous Cell Carcinoma, Gastric Cancer/Gastroesophageal Junction Cancer, High Grade Serous Ovarian Carcinoma","A Phase I/II Open-label Dose Escalation and Expansion Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics, and Efficacy of AZD6750, a CD8 Guided IL-2 Agent Alone and in Combination With Other Anti-cancer Agents in Participants with Select Advanced or Metastatic Solid Tumors",60,NCT07115043,2026-02-10,2026-02-04,Changed,A Study to Investigate Safety of AZD6750 in Adult Participants With Select Advanced or Metastatic Solid Tumors,"PHASE1, PHASE2",Safety- Part 1A & Part 2A (dose escalation) and Part 2B (dose expansion),AstraZeneca,RECRUITING,2029-10-02,2025-07-29,TIGIT
"Non Small Cell Lung Cancer, Non-small Cell Carcinoma, Non-small Cell Lung Cancer","Since anti-PD1, anti-TIGIT, and A2R antagonists have complementary mechanisms of action, and the latter two have shown synergism in combination with antibodies against PD-1, othis study aims to evaluate the efficacy and tolerability of the triplet combination of zimberelimab, domvanalimab, and etrumadenant in patients with non-small cell lung cancer previously treated with immune checkpoint blockade therapy.",30,NCT04791839,2026-02-05,2025-11-04,No Change,Safety and Efficacy of Zimberelimab (AB122) in Combination With Domvanalimab (AB154) and Etrumadenant (AB928) in Patients With Previously Treated Non-Small Cell Lung Cancer,PHASE2,Objective response rate (ORR),Washington University School of Medicine,ACTIVE_NOT_RECRUITING,2030-06-30,2021-08-04,TIGIT
Basal Cell Carcinoma,"PDT is a technique that works by combining a photosensitizing topical agent and an intense light to kill tumor cells. PDT is not currently approved for the treatment of BCC by the Food and Drug Administration (FDA), although it is approved for that purpose in many European countries.

This is an internally (bilaterally) controlled trial that will enroll 24 participants with biopsy-proven BCC who are planning to undergo tumor removal via Mohs surgery. Within this cohort, one tumor will be PDT-treated and the other left as an untreated control. This study is also a cohort-controlled trial, because discarded tissue from fully de-identified Mohs participants will be analyzed after routine Mohs surgery, in order to establish the baseline variability in tumor-infiltrating immune cell parameters in non-PDT-treated participants.

The objectives of this study are:

To determine the time to maximum expression of immune checkpoint molecules in BCC tumors and peri-tumoral stroma after PDT, as compared to untreated tumors.

To determine the ratio of cytotoxic T cells to regulatory T cells in BCC tumors and peri-tumoral stroma after PDT, as compared to untreated tumors.

To determine whether circulating T-cells, collected from patients' peripheral blood, sampled before and after PDT treatment of a BCC tumor, show a higher proportion of tumor-activated CD8+ T-cells after PDT. The hypothesis is that PDT of the localized tumor will trigger a systemic anti-tumor immune effect.

To determine the rate of protoporphyrin IX (PpIX) accumulation and maximal PpIX levels.in tumors To determine the rate of production and maximal levels of singlet oxygen (O2) produced during blue light exposure To assess change in the volume, color, and appearance of tumors at the Mohs surgery visit compared to the PDT visit To assess for distant tumor (abscopal) effects after PDT",28,NCT05020912,2026-02-05,2025-11-25,No Change,Alteration of the Immune Microenvironment in Basal Cell Carcinoma Following Photodynamic Therapy,PHASE2,Time to maximum expression of immune checkpoint molecules,Case Comprehensive Cancer Center,RECRUITING,2027-12,2021-12-13,TIGIT
Bladder Cancer,The main objective of this study is to evaluate the induction of Th1 anti-TERT responses by treatments in patients with bladder tumor.,33,NCT06334406,2026-02-05,2024-03-19,No Change,Antitumor T Cell Responses in Patients With Bladder Cancer,N/A,Tumor antigen specific T-cell responses,Centre Hospitalier Universitaire de Besancon,NOT_YET_RECRUITING,2026-04-02,2024-04-02,TIGIT
Hepatocellular Carcinoma,"The purpose of this study is to assess the efficacy and safety of tiragolumab, an anti-TIGIT monoclonal antibody, when administered in combination with atezolizumab and bevacizumab as first-line treatment, in participants with unresectable, locally advanced or metastatic HCC.

Per amendment version 5, following a memo issued by the Sponsor, participants receiving treatment in the atezolizumab plus bevacizumab plus tiragolumab arm are recommended to discontinue tiragolumab treatment unless the investigator decides the benefit outweighs the risk. Participants receiving treatment in atezolizumab plus bevacizumab plus placebo arm must discontinue placebo treatment. Participants may continue receiving active treatment(s) per protocol until loss of clinical benefit or unacceptable toxicity, whichever occurs first.",687,NCT05904886,2026-02-05,2025-12-30,No Change,"A Study Evaluating Atezolizumab and Bevacizumab, With or Without Tiragolumab, in Participants With Untreated Locally Advanced or Metastatic Hepatocellular Carcinoma (HCC) (IMbrave152)",PHASE3,Investigator-assessed Progression-free Survival (PFS) According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1),Hoffmann-La Roche,ACTIVE_NOT_RECRUITING,2026-09-01,2023-09-14,TIGIT
"Breast Cancer Female, Ovarian Cancer, Gastric Cancer","Open-Label, Non-Randomization and Safety Run-In: Part 1 of the study is a Phase 2 clinical trial in 20 newly diagnosed patients who have Stage II-III breast cancer, with the primary cancer in place. Parts 2 and 3 of the Study are Phase 2 clinical trials in 20 platinum resistant refractory ovarian cancer (PRROC) and gastric cancer patients, respectively.

Also in all Parts 1, 2 and 3 of the study, there will be a safety run-in involving 3-6 patients. Specifically, the enrollment of patients in each of the 3 parts of the study will begin with 3 patients. If no dose-limiting toxicities (DLTs, defined as toxicity ≥Grade 3) are observed in the first 3 patients during the first cycle, enrollment can continue for the remaining 17 patients. If 1 of the first 3 patients experiences a DLT, the enrollment will be expanded to a total of 6 subjects. If no more than 1 of 6 subjects experiences a DLT, enrollment can continue for the remaining 14 patients. If 2 or more of the first 2-6 subjects experience a DLT, enrollment may be paused. The study data will be reviewed to determine whether alternate dose levels or treatment schedules should be evaluated.",5,NCT03342417,2026-02-05,2021-11-05,No Change,"Combination of Nivolumab and Ipilimumab in Breast, Ovarian and Gastric Cancer Patients",PHASE2,Number of participants with treatment-related adverse events as assessed by CTCAE v4.0,ExcellaBio LLC,TERMINATED,2019-05-29,2018-02-14,TIGIT
Neoplasms,"This study will compare the clinical activity of novel regimens (in combination or as single agents) to SoC in participants with relapsed/refractory advanced NSCLC. The study will be conducted in two parts. Part 1 is an open-label, optional, non-randomized part based on safety and pharmacokinetics/pharmacodynamics (PK/PD) evaluation intended to generate additional data to qualify novel regimens for the randomized study. Part 2 is a randomized, Phase II open-label part comparing the efficacy and safety of these novel regimens with SoC. Drug name mentioned as GSK4428859A (belrestotug) and EOS884448 are interchangeable for the same compound and will be referred to as GSK4428859A/EOS884448/belrestotug.",175,NCT03739710,2026-02-05,2025-06-13,No Change,Platform Trial of Novel Regimens Versus Standard of Care (SoC) in Participants With Non-small Cell Lung Cancer (NSCLC),PHASE2,Number of Participants Randomized Across Sub-studies,GlaxoSmithKline,COMPLETED,2024-05-02,2019-01-24,TIGIT
CIDP - Chronic Inflammatory Demyelinating Polyneuropathy,"This is a multicenter, open-label, single-dose, dose-escalation study evaluating the safety and tolerability of intravenous (IV) KINE-101 in patients with corticosteroid-refractory chronic inflammatory demyelinating polyneuropathy (CIDP). On Day 1, subjects receive a single IV dose of KINE-101 at the assigned cohort level and are discharged on Day 3, approximately 48 hours after investigational product (IP) administration, once all required in-clinic assessments have been completed. Safety assessments (including dose-limiting toxicities \[DLTs\], adverse events, clinical laboratory tests, vital signs, physical examinations, and 12-lead ECGs), exploratory efficacy evaluations, and PK/PD assessments are conducted through Day 28 in accordance with the schedule of assessments.

Exploratory efficacy assessments through Day 28 include changes from baseline in the following clinical measures: Inflammatory Neuropathy Cause and Treatment (INCAT) disability score, Medical Research Council (MRC) total sum score, Inflammatory Rasch-Built Overall Disability Scale (I-RODS), Timed Up-and-Go (TUG) test, mean grip strength, and the Overall Neuropathy Limitations Scale (ONLS).

Pharmacodynamic (PD) assessments include immunophenotyping of CD4+ T-cell subsets (CD4, CD25, FOXP3, CD39, CD69, CTLA-4, LAG-3, TNFR2, TIGIT, CCR5, and CXCR3); measurement of serum cytokines and immunoglobulins (IgM, IgG, IL-2, IL-6, IL-10, IL-17, IFN-γ, MCP-1, and TGF-β); evaluation of autoantibody and complement markers (antinuclear antibodies, anti-SM, anti-RNP, anti-SSA, anti-double-stranded DNA antibodies, and complement C4); and additional laboratory parameters related to systemic inflammation.

Dose escalation follows a standard 3+3 design based on review of safety, including DLTs, in the preceding cohort. Three KINE-101 dose cohorts are planned: Cohort 1 (120 mg), Cohort 2 (240 mg), and Cohort 3 (360 mg). If safety and tolerability are deemed acceptable in a given cohort, enrollment proceeds sequentially to the next higher dose level.",9,NCT07343310,2026-02-05,2026-01-15,No Change,A First-in-Patient Clinical Trial of KINE-101 in Patients With Corticosteroid-Refractory CIDP,PHASE1,Incidence of Adverse Events (AEs),"Kine Sciences Co., Ltd.",COMPLETED,2025-04-14,2024-08-27,TIGIT
Colon Cancer Liver Metastasis,"Despite advance in the diagnosis and treatment of colorectal cancer (CRC), it remains the second most common cause of cancer-related death in the US and the UK. The majority of deaths from CRC are related to distant metastases, predominantly to the liver.

There are observational and laboratory data supporting the notion that the omega-3 polyunsaturated fatty acid eicosapentaenoic acid (EPA) has anti-CRC activity. These include a phase 2 'window of opportunity' randomised, placebo-controlled trial of EPA provided before surgery for resection of CRC liver metastasis (called the EMT study). A signal that EPA improved progression-free and overall survival after liver surgery provided the rationale for the EMT2 trial, which is a randomised, double-blind placebo-controlled phase 3 trial of the effect of EPA (started before surgery but continued post-operatively) on CRC recurrence and survival after surgery for resectable liver metastases \[ClinicalTrials.gov NCT03428477 and EudraCT Number: 2016-000628-24\].

The mechanism(s) by which EPA might influence post-operative survival are not well understood. Recent data support the idea that the anti-CRC benefit of EPA may be mediated by modulating the intestinal microbiota and ameliorating tumour-permissive immunosuppressive mechanisms, including inhibition of the activity of regulatory T cells (Tregs) and myeloid-derived suppressor cells (MDSCs), as well as reduced synthesis of inflammatory mediators such as prostaglandin (PG) E2 and chemokine (C-C motif) ligand 2 (CCL2). Mice fed with a high-EPA-containing diet demonstrate 1) increased abundance of gut bacteria, such as Bifidobacterium and Lactobacillus genera that support the host anti-tumour immune response and improve the efficacy of cancer immunotherapy, and 2) decreased abundance of lipopolysaccharide (LPS)-producing bacteria that trigger chronic inflammation and can promote CRC. These data support a hypothesis that a prebiotic effect of EPA abrogates intra-tumoural immunosuppression and ameliorates systemic inflammation to improve survival of CRCLM patients.

EMT2 trial participants are ideally placed to provide biospecimens that can be analysed in order to understand the mechanism(s) of action of EPA given that the laboratory data can eventually be linked to the clinical outcomes from the trial. Biospecimens can be obtained without interference with the EMT2 trial protocol. Stool, urine, and blood samples will be obtained 1) after EMT2 trial randomization, before starting EPA or placebo, 2) just before surgery, and 3) at 6-monthly intervals thereafter, plus liver metastases tumour tissue during surgery. Using these biospecimens, the microbiome and immune pathways altered by EPA will be investigated in relation to participant survival. Mechanistic insights about the anti-CRC activity of EPA from the biospecimen collection project will maximize the knowledge and insights gained from the EMT2 trial and its participants, thereby leading to personalized use of EPA, which will be targeted at those most likely to benefit.",81,NCT04682665,2026-02-05,2024-12-03,No Change,Prebiotic Effect of Eicosapentaenoic Acid Treatment for Colorectal Cancer Liver Metastases,N/A,"Abundance of individual bacterial taxa in the gut microbiome (eg. Bifidobacterium, Lactobacillus, and Fusobacterium) in stool samples.",University of Leeds,COMPLETED,2024-07-31,2021-09-16,TIGIT
"Breast Cancer, Biliary Tract Carcinoma, Ovarian Cancer, Endometrial Cancer, Squamous Non-Small Cell Lung Cancer","This study is a Phase I/IIa Multi-center, Open-label Master Protocol Dose Escalation and Expansion Study of AZD8205 as Monotherapy and in Combination with Anticancer Agents in Participants with Advanced Solid Tumors",460,NCT05123482,2026-02-16,2026-02-11,Changed,"A Phase I/IIa Study of AZD8205 Given Alone or Combined, in Participants With Advanced/Metastatic Solid Malignancies","PHASE1, PHASE2",The number of patients with adverse events,AstraZeneca,RECRUITING,2027-09-29,2021-10-18,TIGIT
Advanced Solid Tumors,"This is a Phase I, open-label, multicenter, multi-part, dose finding and dose confirmation study to evaluate the PK and safety of SC rilvegostomig.

The study includes 2 parts: Part 1 (Dose Finding) and Part 2 (Dose Confirmation).

Part 1 will determine a SC rilvegostomig dose co-administered with rHu that yields drug exposure comparable with IV rilvegostomig. It will include 2 planned dose levels (DL1 in Cohort A and DL2 in Cohort B). Additional dose levels will be added, if needed.

Part 2 will be initiated once a dose has been identified based on Part 1. This part will evaluate the bioavailability, safety, and tolerability of SC rilvegostomig + rHu.",40,NCT07161414,2026-02-05,2025-12-18,No Change,A Study to Investigate the Pharmacokinetics and Safety of Subcutaneous Rilvegostomig in Adult Participants With Advanced Solid Tumors Previously Treated With Standard of Care Therapy,PHASE1,Area under the Concentration-time Curve During One Dosing Interval (AUCtau),AstraZeneca,RECRUITING,2029-07-24,2025-11-25,TIGIT
"Cutaneous T Cell Lymphoma (CTCL), Mycosis Fungoides, Sezary Syndrome","Cutaneous T-cell lymphomas (CTCL) are a heterogeneous group of lymphomas characterized by a primary involvement of the skin. Among them, mycosis fungoides (MF) and Sézary syndrome (SS) are the most common subtypes. SS is defined as erythroderma (erythema of the entire skin surface), and circulating tumor blood cells. The circulating tumor T cells express CD4 and may lose expression of CD7 and CD26, while exhibiting in most cases aberrant expression of CD158k (KIR3DL2), which is a surface marker of Sézary cells. CCR8 is a surface marker of tumor-infiltrating regulatory T cells. It has recently be observed that CCR8 was expressed by tumor cells in CTCL and other peripheral T-cell lymphomas. CCR8 is expressed by skin resident-memory T cells which are believed to be the tumor cell-of-origin in mycosis fungoides. Domain Therapeutics (DT) showed the in vitro efficacy of their proprietary anti-CCR8 mAb DT7012 in the depletion of CTCL cells. Therapeutic depletion of CCR8-expressing cells by DT-7012 could eliminate tumor cells and activate the anti-tumor immunity in CTCL. We hypothesize that treatment with DT-7012 is effective in the treatment of relapsed or refractory (R/R) CTCL as advanced MF and SS.",30,NCT07213882,2026-02-05,2025-10-02,No Change,"A Phase 1, Multicenter, Open-label, Prospective, First-in-human Dose-escalation Clinical Trial of Domain Therapeutics' Anti-CCR8 Monoclonal Antibody (DT-7012) in Patients With Relapsed or Refractory Cutaneous T-cell Lymphomas (CTCL)",EARLY_PHASE1,Dose limiting toxicity (DLT) defined by any treatment-emergent adverse event (TEAE) not attributable to the disease or disease-related processes,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,2028-08-01,2026-01-01,TIGIT
HIV,"The aim of antiretroviral (ARV) treatment is to inhibit viral replication in order to achieve an undetectable plasma viral load. The threshold of undetectability to be achieved differs from country to country and from learned societies to learned societies, and is set at 50 copies/mL at 6 months of treatment initiation in French recommendations (Morlat, 2018), 200 copies/mL in US recommendations (Thompson et al., 2021), and 1,000 copies/mL in recommendations published by the World Health Organization (WHO) (World Health Organization, 2016), the latter threshold being the one used by all resource-limited countries.

Currently, the vast majority of patients treated with ARVs are virologically suppressed, with viral load below the quantification threshold of the viral load technique (20 to 50 copies/mL, classically) (Elvstam et al., 2023). Nevertheless, a non-negligible percentage of patients, up to 10% in a recent American study (Fleming et al., 2019), may present persistent viremia (i.e., on several consecutive viral loads) of low level (between 51 and 1,000 copies/mL).The risk of persistent viral replication under antiretroviral pressure is to favor the emergence of resistance mutations, which can impact the activity of an ARV molecule or all the molecules in a therapeutic class (Assoumou et al., JAC, 2017; Elvstam et al., CID, 2023). The phenomenon of persistent plasma viremia has been shown to be more frequently observed with certain ARV classes such as protease inhibitors. However, few data are currently available on the most recent ARVs, such as 2nd-generation integrase inhibitors (INIs) and the most recent non-nucleoside reverse transcriptase inhibitor (NNRTI), doravirin. These latest-generation molecules have specific profiles. For example, 2nd-generation INIs present a high genetic barrier to resistance, while doravirine has the advantage of having a genotypic resistance profile distinct from other NNRTIs, and of diffusing well across compartments.

These persistent low levels of viremia raise numerous questions in terms of clinical management, and may lead to changes in therapy. We therefore need to better understand the mechanism(s) behind these persistent low viremia levels, so that we can provide the best possible care for PLWHA.However, in the absence of a clear explanation of the mechanism underlying this low-noise replication, management of this clinical situation is often difficult and sub-optimal. In fact, the therapeutic intensifications proposed (addition of a 4th agent or switch to another 3rd agent that does not exist as a single tablet) can complicate the patient's regimen, and therefore impact on compliance. At present, it is often proposed to closely monitor patients with persistent low viremia, which can be stressful for the patient, in addition to generating healthcare costs due to the close follow-up visits and biological tests prescribed.Various mechanisms could be at the root of this persistent low-level viremia: persistence of low-level viral replication, notably through release from anatomical reservoirs, clonal expansion of provirus-carrying cells that can be reactivated following polyclonal stimulation, or the production of non-infectious virus from mutation-carrying proviruses (Elvstam et al., 2019; Halvas et al., 2020; Simonetti et al., 2016) (Figure 2). These mechanisms are all linked to the particularity of the HIV cycle, which is the ability of its genome to integrate as double-stranded DNA into the cellular genome. This integrated viral DNA, also known as provirus, constitutes the reservoir. The vast majority of proviruses present in the cellular reservoir are defective, i.e. not replication-competent (Bender et al., 2019). Different types of mutations are responsible for these defective proviruses: i) the appearance of stop codons due to G-to-A mutations in the viral genome, selected by host immune pressure mechanisms such as the APOBEC (Apolipoprotein B mRNA-editing Enzyme Catalytic polypeptide-like) enzyme, ii) mutations in key regions, such as 5' LTR (Long Terminal Repeat), and iii) larger or smaller deletions of the proviral genome.A recent study compared plasma viruses with proviruses in 8 patients with persistent low plasma viremia (White et al., 2023). The proviral genomes that contributed to plasma viremia differed from proviral genomes not found in plasma viruses, notably in terms of integration sites in the human genome and transcriptomics in the CD4 cells that host them. This suggests that certain proviruses may be specifically responsible for low-noise viral replication. The mechanism by which these proviruses are activated is not determined, but could result from random reactivations due to higher levels of systemic inflammation and immune activation. Other work has suggested that clonal expansion of certain provirus-bearing CD4+ T cells may play a role in the persistence of low-level viremia (Simonetti et al., 2016). This clonal expansion is a random process and, in this scenario, the viruses produced might not generate new productive infections, due to effective ARV concentrations.In this study, we will explore different hypotheses concerning the origin of these persistent plasma viremias by studying the viral reservoir in patients with and without persistent low-level viremia, and by investigating the association between viral reservoir levels and different parameters of immune activation, inflammation and immune exhaustion.",80,NCT07015164,2026-02-05,2025-06-03,No Change,"Role of Viral Reservoir, Immune Activation and Depletion in Persistent Viremia Persistent Viremia in People Living With HIV on Antiretroviral Therapy",N/A,Quantification of HIV-1 cellular reservoir parameters using molecular techniques,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,2026-09-11,2025-06-10,TIGIT
Gastric Cancer,"Approximately 240 participants will be assigned across 6 substudies, with approximately 40 evaluable participants of the confirmed recommend dose by SRC for study intervention in each corresponding substudy.",240,NCT05702229,2026-02-05,2025-11-14,No Change,Novel Combinations in Participants With Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma,PHASE2,ORR (per RECIST 1.1 as assessed by Investigator),AstraZeneca,RECRUITING,2027-09-28,2023-01-16,TIGIT
"Relapsed Large B-cell Lymphoma, Refractory Large B-cell Lymphoma, Diffuse Large B-cell Lymphoma (DLBCL), Primary Mediastinal Large B-Cell Lymphoma (PMBCL), High-grade B-cell Lymphoma, Transformed Follicular Lymphoma (TFL)","This is a multi-center, phase I/II study to determine the efficacy and safety of CRC01 in adult patients with relapsed or refractory large B-cell lymphoma.",91,NCT04836507,2026-02-05,2021-04-29,No Change,Study of Efficacy and Safety of CRC01 in Adult Large B-cell Lymphoma Patients,"PHASE1, PHASE2",Phase 1 Study: Maximum Tolerated Dose (MTD) which will be the Recommended Phase 2 Dose (RP2D),Curocell Inc.,RECRUITING,2028-02,2021-03-02,TIGIT
"SARS-CoV-2 RNA Vaccines, HIV Infection","Prospective, non-equality, cohort study, where investigators propose to analyze humoral and cellular immunity after two doses of SARS-CoV-2 RNA vaccines in HIV-infected participants severely immunosuppressed.

A total of 92 HIV-infected subjects over 18 years old with ≤200 CD4/μl (experimental group; n=46) and ≥ 350 CD4/μl (as control group; n=46) who have completed two doses vaccination against SARS-CoV-2 will be included in the study.

Primary Objectives:

* To analyze the percentage of participants with SARS-CoV-2-specific IgG after 1, 6, and 12 months after vaccination in subjects with ≤200 vs ≥350 CD4/μL by electrochemiluminescence immunoassay (Elecsys® Anti-SARS-CoV-2. Roche Diagnostics).
* To analyze the percentage of subjects with specific T and memory B lymphocyte response against SARS-CoV-2 after 1, 6, and 12 months after vaccination with \<200 vs ≥350 CD4/μL. Multiparametric flow cytometry in peripheral blood mononuclear cells (PBMCs) will be performed to detect the production of cytokines (IL-2, TNF-α and IFN-γ), cytolytic (perforin and granzyme B) and degranulation (CD107a) molecules from T cells, as well as to identify memory B cells specific to SARS-CoV-2 IgG+.

Secondary Objectives: To analyze in participants with \<200 vs ≥350 CD4/μl after 1, 6, and 12 months after vaccination:

* Quantification of specific IgG titers against SARS-CoV-2
* The association of the T response to SARS-CoV-2 with humoral response parameters.
* The association of the T response against SARS-CoV-2 with other parameters of immune activation, inflammation and immunosenescence. The phenotypes of maturation (CD45RA and CD27), activation (HLA-DR and CD38), senescence (CD57+CD28-) and markers of immune exhaustion (TIGIT, LAG-3, TIM-3 and PD-1) in CD4 and CD8 lymphocytes T will be determined by multiparametric flow cytometry.",48,NCT05633927,2026-02-05,2024-10-09,No Change,Humoral and Cellular Immunity Against SARS-COV-2 Vaccine in HIV-infected Patients Immunosuppressed,N/A,Antibodies,Hospitales Universitarios Virgen del Rocío,COMPLETED,2022-12-01,2021-04-01,TIGIT
